customer_email,subject_or_name,type,status,expense
customer1@yopmail.com,Lorem ipsum,lead,meeting-to-schedule,150000
mail2@test.com,Correction bug #123,ticket,open,95000
customer1@yopmail.com,Test avant,lead,archived,"68500,87"
verylongemailaddressthatisoverthelimit@example.com,Very Long Subject Name That Exceeds Normal Limits,lead,meeting-to-schedule,1000000000
short@em.com,Short,ticket,open,100
missingemail,,lead,meeting-to-schedule,500000
,,,open,
invalidemail@com,Invalid Subject,lead,open,200000
customer3@yopmail.com,Valid Subject,invalid-type,open,300000
customer4@yopmail.com,Another Subject,lead,invalid-status,400000
customer5@yopmail.com,Subject With Special Characters! @#$%,ticket,open,500000
customer6@yopmail.com,No Expense,lead,open,
customer7@yopmail.com,Negative Expense,lead,open,-5000
customer8@yopmail.com,Decimal Expense,lead,open,12345.67
